user.key;datetime;meter.reading;diff
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 19:07:57;1066272;15
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 20:07:57;1066280;8
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 21:07:51;1066286;6
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 22:07:51;1066307;21
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 23:07:51;1066321;14
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 00:07:51;1066321;0
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 01:08:01;1066375;54
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 02:08:01;1066382;7
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 03:08:01;1066382;0
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 04:08:01;1066382;0
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 05:08:01;1066388;6
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 06:08:01;1066388;0
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 07:08:01;1066388;0
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 08:08:01;1066417;29
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 09:07:48;1066417;0
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 10:07:48;1066443;26
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 11:07:48;1066465;22
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 12:07:48;1066509;44
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 13:07:51;1066579;70
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 14:07:51;1066603;24
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 15:07:51;1066619;16
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 16:07:51;1066688;69
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 17:07:55;1066727;39
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 18:07:55;1066756;29
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 19:07:55;1066850;94
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 20:07:55;1066868;18
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 21:08:00;1066872;4
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 22:08:00;1066892;20
df789230-d273-4fd0-aa24-6f5419469295;20/11/2016 23:08:00;1066912;20
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 00:08:00;1066912;0
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 01:07:49;1066968;56
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 02:07:49;1066975;7
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 03:07:49;1066976;1
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 04:07:49;1066976;0
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 05:08:01;1066976;0
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 06:08:01;1066976;0
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 07:08:01;1066976;0
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 08:08:01;1066991;15
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 09:07:55;1066991;0
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 10:07:55;1067022;31
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 11:07:55;1067060;38
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 12:07:55;1067060;0
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 13:07:47;1067114;54
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 14:07:47;1067114;0
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 15:07:47;1067143;29
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 16:07:47;1067169;26
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 17:07:47;1067195;26
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 18:07:47;1067196;1
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 19:07:47;1067215;19
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 20:07:47;1067216;1
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 21:07:58;1067279;63
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 22:07:58;1067290;11
df789230-d273-4fd0-aa24-6f5419469295;21/11/2016 23:07:58;1067305;15
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 00:07:58;1067312;7
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 01:08:02;1067375;63
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 02:08:02;1067376;1
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 03:08:02;1067376;0
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 04:08:02;1067376;0
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 05:07:47;1067376;0
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 06:07:47;1067376;0
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 07:07:47;1067376;0
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 08:07:47;1067413;37
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 09:07:56;1067467;54
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 10:07:56;1067467;0
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 11:07:56;1067467;0
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 12:07:56;1067472;5
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 13:07:56;1067619;147
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 14:07:56;1067658;39
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 15:07:56;1067677;19
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 16:07:56;1067714;37
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 17:07:46;1067738;24
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 18:07:46;1067766;28
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 19:07:46;1067788;22
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 20:07:46;1067789;1
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 21:08:00;1067798;9
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 22:08:00;1067840;42
df789230-d273-4fd0-aa24-6f5419469295;22/11/2016 23:08:00;1067846;6
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 00:08:00;1067857;11
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 01:07:59;1067913;56
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 02:07:59;1067920;7
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 03:07:59;1067920;0
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 04:07:59;1067921;1
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 05:08:00;1067921;0
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 06:08:00;1067921;0
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 07:08:00;1067921;0
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 08:08:00;1067921;0
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 09:07:46;1067967;46
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 10:07:46;1068096;129
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 11:07:46;1068106;10
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 12:07:46;1068114;8
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 13:07:53;1068144;30
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 14:07:53;1068152;8
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 15:07:53;1068154;2
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 16:07:53;1068176;22
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 17:07:55;1068176;0
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 18:07:55;1068183;7
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 19:07:55;1068183;0
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 20:07:55;1068189;6
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 21:11:54;1068190;1
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 22:11:54;1068217;27
df789230-d273-4fd0-aa24-6f5419469295;23/11/2016 23:11:54;1068217;0
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 00:11:54;1068218;1
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 01:07:59;1068233;15
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 02:07:59;1068233;0
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 03:07:59;1068234;1
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 04:07:59;1068234;0
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 05:07:55;1068239;5
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 06:07:55;1068239;0
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 07:07:55;1068239;0
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 08:07:55;1068249;10
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 09:07:45;1068274;25
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 10:07:45;1068355;81
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 11:07:45;1068355;0
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 12:07:45;1068355;0
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 13:07:47;1068356;1
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 14:07:47;1068370;14
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 15:07:47;1068421;51
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 16:07:47;1068504;83
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 17:07:53;1068533;29
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 18:07:53;1068579;46
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 19:07:53;1068630;51
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 20:07:53;1068642;12
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 21:08:00;1068649;7
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 22:08:00;1068656;7
df789230-d273-4fd0-aa24-6f5419469295;24/11/2016 23:08:00;1068672;16
df789230-d273-4fd0-aa24-6f5419469295;25/11/2016 00:08:00;1068707;35
df789230-d273-4fd0-aa24-6f5419469295;25/11/2016 01:07:46;1068708;1
